"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify jsonTest","281","jsonTest","Integration Test Suite Data Drivem","Sun Oct 26 08:16:33 UTC 2025","passed","Sun Oct 26 08:16:34 UTC 2025","O2_tests.dataDriven","Selenium Tests","O2_tests.dataDriven","jsonTest"
"Verify ExcelReader","0","ExcelReader","Integration Test Suite Data Drivem","Sun Oct 26 08:16:34 UTC 2025","passed","Sun Oct 26 08:16:34 UTC 2025","O2_tests.dataDriven","Selenium Tests","O2_tests.dataDriven","ExcelReader"
"Verify propertyReader","1","propertyReader","Integration Test Suite Data Drivem","Sun Oct 26 08:16:34 UTC 2025","passed","Sun Oct 26 08:16:34 UTC 2025","O2_tests.dataDriven","Selenium Tests","O2_tests.dataDriven","propertyReader"
"Verify DbReader","1","DbReader","Integration Test Suite Data Drivem","Sun Oct 26 08:16:34 UTC 2025","passed","Sun Oct 26 08:16:34 UTC 2025","O2_tests.dataDriven","Selenium Tests","O2_tests.dataDriven","DbReader"
