"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify DbReader","1","DbReader","Integration Test Suite Data Drivem","Mon Oct 27 10:29:10 UTC 2025","passed","Mon Oct 27 10:29:10 UTC 2025","O2_tests.dataDriven","Selenium Tests","O2_tests.dataDriven","DbReader"
"Verify jsonTest","319","jsonTest","Integration Test Suite Data Drivem","Mon Oct 27 10:29:10 UTC 2025","passed","Mon Oct 27 10:29:10 UTC 2025","O2_tests.dataDriven","Selenium Tests","O2_tests.dataDriven","jsonTest"
"Verify propertyReader","1","propertyReader","Integration Test Suite Data Drivem","Mon Oct 27 10:29:10 UTC 2025","passed","Mon Oct 27 10:29:10 UTC 2025","O2_tests.dataDriven","Selenium Tests","O2_tests.dataDriven","propertyReader"
"Verify ExcelReader","1","ExcelReader","Integration Test Suite Data Drivem","Mon Oct 27 10:29:10 UTC 2025","passed","Mon Oct 27 10:29:10 UTC 2025","O2_tests.dataDriven","Selenium Tests","O2_tests.dataDriven","ExcelReader"
