"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify propertyReader","2","propertyReader","Integration Test Suite Data Drivem","Mon Oct 27 10:30:45 UTC 2025","passed","Mon Oct 27 10:30:45 UTC 2025","O2_tests.dataDriven","Selenium Tests","O2_tests.dataDriven","propertyReader"
"Verify jsonTest","333","jsonTest","Integration Test Suite Data Drivem","Mon Oct 27 10:30:45 UTC 2025","passed","Mon Oct 27 10:30:45 UTC 2025","O2_tests.dataDriven","Selenium Tests","O2_tests.dataDriven","jsonTest"
"Verify DbReader","1","DbReader","Integration Test Suite Data Drivem","Mon Oct 27 10:30:45 UTC 2025","passed","Mon Oct 27 10:30:45 UTC 2025","O2_tests.dataDriven","Selenium Tests","O2_tests.dataDriven","DbReader"
"Verify ExcelReader","1","ExcelReader","Integration Test Suite Data Drivem","Mon Oct 27 10:30:45 UTC 2025","passed","Mon Oct 27 10:30:45 UTC 2025","O2_tests.dataDriven","Selenium Tests","O2_tests.dataDriven","ExcelReader"
