"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify DbReader","0","DbReader","Integration Test Suite Data Drivem","Sun Oct 26 12:31:21 UTC 2025","passed","Sun Oct 26 12:31:21 UTC 2025","O2_tests.dataDriven","Selenium Tests","O2_tests.dataDriven","DbReader"
"Verify ExcelReader","0","ExcelReader","Integration Test Suite Data Drivem","Sun Oct 26 12:31:21 UTC 2025","passed","Sun Oct 26 12:31:21 UTC 2025","O2_tests.dataDriven","Selenium Tests","O2_tests.dataDriven","ExcelReader"
"Verify jsonTest","274","jsonTest","Integration Test Suite Data Drivem","Sun Oct 26 12:31:21 UTC 2025","passed","Sun Oct 26 12:31:21 UTC 2025","O2_tests.dataDriven","Selenium Tests","O2_tests.dataDriven","jsonTest"
"Verify propertyReader","2","propertyReader","Integration Test Suite Data Drivem","Sun Oct 26 12:31:21 UTC 2025","passed","Sun Oct 26 12:31:21 UTC 2025","O2_tests.dataDriven","Selenium Tests","O2_tests.dataDriven","propertyReader"
